"Keyword","SERP Position","Avg. Search Volume (Last 12 months)","Estimated Visits","Location","CPC/USD","PPC","Keyword Difficulty","Keyword interest growth (%)","Content Type","Search Intent","Keyword Opportunities","Serp Features","Search Volume 4/2015","Search Volume 5/2015","Search Volume 6/2015","Search Volume 7/2015","Search Volume 8/2015","Search Volume 9/2015","Search Volume 10/2015","Search Volume 11/2015","Search Volume 12/2015","Search Volume 1/2016","Search Volume 2/2016","Search Volume 3/2016","Search Volume 4/2016","Search Volume 5/2016","Search Volume 6/2016","Search Volume 7/2016","Search Volume 8/2016","Search Volume 9/2016","Search Volume 10/2016","Search Volume 11/2016","Search Volume 12/2016","Search Volume 1/2017","Search Volume 2/2017","Search Volume 3/2017","Search Volume 4/2017","Search Volume 5/2017","Search Volume 6/2017","Search Volume 7/2017","Search Volume 8/2017","Search Volume 9/2017","Search Volume 10/2017","Search Volume 11/2017","Search Volume 12/2017","Search Volume 1/2018","Search Volume 2/2018","Search Volume 3/2018","Search Volume 4/2018","Search Volume 5/2018","Search Volume 6/2018","Search Volume 7/2018","Search Volume 8/2018","Search Volume 9/2018","Search Volume 10/2018","Search Volume 11/2018","Search Volume 12/2018","Search Volume 1/2019","Search Volume 2/2019","Search Volume 3/2019","Search Volume 4/2019","Search Volume 5/2019","Search Volume 6/2019","Search Volume 7/2019","Search Volume 8/2019","Search Volume 9/2019","Search Volume 10/2019","Search Volume 11/2019","Search Volume 12/2019","Search Volume 1/2020","Search Volume 2/2020","Search Volume 3/2020","Search Volume 4/2020","Search Volume 5/2020","Search Volume 6/2020","Search Volume 7/2020","Search Volume 8/2020","Search Volume 9/2020","Search Volume 10/2020","Search Volume 11/2020","Search Volume 12/2020","Search Volume 1/2021","Search Volume 2/2021","Search Volume 3/2021","Search Volume 4/2021","Search Volume 5/2021","Search Volume 6/2021","Search Volume 7/2021","Search Volume 8/2021","Search Volume 9/2021","Search Volume 10/2021","Search Volume 11/2021","Search Volume 12/2021","Search Volume 1/2022","Search Volume 2/2022","Search Volume 3/2022","Search Volume 4/2022","Search Volume 5/2022","Search Volume 6/2022","Search Volume 7/2022","Search Volume 8/2022","Search Volume 9/2022","Search Volume 10/2022","Search Volume 11/2022","Search Volume 12/2022","Search Volume 1/2023","Search Volume 2/2023","Search Volume 3/2023","Search Volume 4/2023","Search Volume 5/2023","Search Volume 6/2023","Search Volume 7/2023","Search Volume 8/2023","Search Volume 9/2023","Search Volume 10/2023","Search Volume 11/2023","Search Volume 12/2023","Search Volume 1/2024","Search Volume 2/2024","Search Volume 3/2024","Search Volume 4/2024","Search Volume 5/2024","Search Volume 6/2024","Search Volume 7/2024","Search Volume 8/2024","Search Volume 9/2024","Search Volume 10/2024","Search Volume 11/2024","Search Volume 12/2024","Search Volume 1/2025","Search Volume 2/2025","Search Volume 3/2025","Search Volume 4/2025","Search Volume 5/2025","Search Volume 6/2025","Search Volume 7/2025","Search Volume 8/2025","Search Volume 9/2025","Search Volume 10/2025","Search Volume 11/2025","Search Volume 12/2025"
"agencia desarrollo web",4,880,57,"Spain","5.38",15,20,2,"","","Missing words in title","Knowledge Graph","","","","","","","","","","","",,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,260,480,390,320,140,140,110,170,170,170,140,110,110,170,140,170,210,260,390,320,480,320,210,320,210,260,320,320,260,170,260,320,320,320,320,320,390,480,390,320,480,320,260,390,390,390,390,590,1000,1600,1600,880,210,320,320,3600,390,480,320
"algoritmos de google",4,140,9,"Spain","",,19,-32,"CORPORATE_BLOG_POSTS","","Missing words in title","Featured Snippet","","","","","","","","","","","",,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140,110,110,210,320,260,170,170,210,320,170,210,170,110,70,170,210,170,170,210,170,210,210,170,140,90,40,140,110,140,
"artlumen",4,1300,85,"Spain","1.48",99,,,"","","","","","","","","","","","","","","",,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,590,720,880,880,720,720,720,880,720,1000,880,720,,,,,,,,,,,,,,,,,,1000,1300,1300,1300,1300,1300,1300,1000,1600,1600,1300,1300
"auditoría seo",4,1000,65,"Spain","4.05",20,28,-27,"CORPORATE_BLOG_POSTS","","Missing words in title","Knowledge Graph, AI Overview, People Also Ask","","","","","","","","","","","",,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,720,880,720,880,720,590,590,880,720,720,590,590,720,720,590,720,590,480,590,590,720,720,590,720,590,720,720,720,720,590,480,720,720,720,720,880,880,880,880,880,590,590,590,880,880,720,720,880,1600,1900,1600,1000,720,590,590,2900,720,590,390
"bing search console",4,260,17,"Spain","467.27",0,17,-7,"LISTICLES","","Missing words in title","","","","","","","","","","","","",,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260,170,140,210,210,210,140,170,140,140,210,390,,260,260,260,210,210,210,320,210,260,260,320,260
"catala google",4,590,38,"Spain","",,,,"","","","","","","","","","","","","","","",,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,880,880,1000,720,720,480,210,210,480,390,590,720
"cercadors",4,320,21,"Spain","",,,,"","","","","","","","","","","","","","","",,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170,260,390,320,210,320,320,320,320,320,260,260,,,,,,320,260,320,260,320,260,210,170,390,390,390,260
"diseño de páginas web para empresas",4,110,7,"Spain","",5,31,-85,"","","","","","","","","","","","","","","",,,,,,,,,,,,,"","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0",,,,,,,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,20,10,20,30,30,20,10,20,70,90,70,70,90,90,140,110,140,210,260,210,110,70,20,40,140,30,10,10
"diseño profesional de páginas web",4,720,47,"Spain","7.98",3,,52,"","","","","","","","","","","","","","","",,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170,170,170,140,170,170,170,140,170,170,210,260,320,720,1000,1300,590,260,140,210,2400,390,320,260
"diseño web empresas",4,1600,105,"Spain","6.95",15,38,-3,"HOMEPAGES","","Missing words in title","","","","","","","","","","","","",,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,1000,880,880,590,480,590,720,880,720,720,720,720,480,720,880,480,590,590,480,480,260,480,390,480,390,480,390,480,320,590,720,720,590,590,590,720,590,720,590,480,480,480,480,480,590,720,1900,2400,2400,1300,720,590,480,5400,720,390,390
"ejemplo de diseño web",4,110,7,"Spain","",5,,,"","","","","","","","","","","","","","","",,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,110,140,140,90,30,20,40,390,90,90,50
"ejemplos de diseño web",4,110,7,"Spain","",5,,,"","","","","","","","","","","10","10","10","10","20",10,20,10,10,10,10,10,20,20,10,20,20,"20","10","20","10","10","10","10","10","10","10","20","20","20","10","10","20","10","10","20","20","10",10,10,10,10,20,20,10,10,10,30,20,20,10,20,10,20,20,20,20,20,10,30,30,30,20,30,30,40,30,40,20,20,10,20,20,20,20,20,20,20,30,40,20,20,20,30,20,30,30,30,50,40,20,30,40,30,30,40,,,,,,,,,,,,,,,,50,110,140,140,90,30,20,40,390,90,90,50
"empresa que crea paginas web",4,110,7,"Spain","10.74",37,14,-42,"HOMEPAGES","","Missing words in title","","","","","","","","","","","","",,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,140,140,110,70,40,50,90,90,170,90,140,,,,,,,,,,,,,,,,,,,,,,,110,140,110,210,170,140,110,70,40,260,90,50,50
"empresas crear pagina web",4,110,7,"Spain","10.74",37,,-30,"","","","","","","","","","","","","","","",,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140,170,140,110,90,110,70,70,110,70,90,110,140,110,210,170,140,110,70,40,260,90,50,50
"empresas de paginas web",4,320,21,"Spain","11.63",36,23,-32,"LISTICLES, HOMEPAGES","","Missing words in title","","","","","","","","","","","","",,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,140,260,320,210,170,140,90,140,210,170,140,260,170,210,170,140,90,90,110,140,140,210,140,170,140,110,140,90,170,140,140,210,320,320,320,210,390,590,390,320,260,210,260,320,260,260,260,260,480,590,480,390,260,140,110,880,210,210,110
"google barcelona",4,590,38,"Spain","",0,29,,"MEDIA_BLOGS","","","","","","","","","","","","","","",,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,590,590,480,390,590,720,590,720,590,590,480,480,,,,,590,590,720,590,720,480,480,480,590,590,480,480
"google barcelona oficinas",4,110,7,"Spain","",,,,"","","","","","","","","","","","","","","",,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,170,210,170,140,140,170,140,140,110,90,90,,,,,,140,170,140,90,110,90,70,70,90,110,110,70
"google catalan",4,140,9,"Spain","",,,,"","","","","","","","","","","","","","","",,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170,170,320,260,170,320,260,260,210,210,210,140,,,,,,,,,,,,,,,,,,170,170,170,140,170,140,110,90,140,210,170,170
"irelena",4,480,31,"Spain","0.52",25,,,"","","","","","","","","","","","","","","",,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170,210,320,390,320,320,320,260,260,260,210,210,,,,,,,,,,,,,,,,,,590,590,590,480,590,480,480,320,590,590,590,480
"justificar texto",4,1000,65,"Spain","",,,8,"","","","","","","","","","","","","","","",,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,480,1300,1900,1900,1600,1300,1300,1600,1600,1900,1300,720,390,1000,1600,1300,1000,1000,1000,1300,1000,1600,1000,480,480,880,1600,1600,1000
"justify a text",4,110,7,"Spain","",,,,"","","","","","","","","","","","","","","",,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140,140,210,170,260,170,210,170,210,170,210,170,,,,,,,,,,,,,,,,,,,110,140,170,170,140,110,90,90,110,140,140,90
"logo pagina web",4,260,17,"Spain","1.55",3,,-23,"","","","","","","","","","","","","","","",,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,390,390,320,390,390,480,480,590,390,320,260,390,480,480,390,480,590,480,590,590,480,210,210,320,390,480,320,480,480,480,390,480,320,210,170,320,320,390,320,390,390,390,320,390,260,170,210,320,390,390,260,390,390,390,390,390,260,170,140,260,320,320,260,260,320,390,260,320,260,170,110,210,260,260,170
"los bellota",4,320,21,"Spain","0.57",5,,,"","","","","","","","","","","","","","","",,,,,,,,,,170,170,140,"170","210","170","170","170","170","170","170","140","90","140","170","140","140","210","170","170","170","140","140","210",210,210,210,210,260,260,260,320,260,210,210,140,210,140,170,50,20,30,50,110,210,170,90,30,50,40,50,50,70,110,90,110,170,170,170,170,260,140,110,210,260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170,170,260,210,260,390,390,590,590,390,320,260
"newsletter seo",4,140,9,"Spain","",1,16,,"","","Missing words in title","","","","","","","","","","","","",,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,30,50,50,50,70,40,30,30,40,70,50,30,40,30,20,20,30,20,30,30,50,70,50,50,50,70,70,30,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140,260,260,260,140,30,40,30,110,70,140,40
"oficina google barcelona",4,110,7,"Spain","",,,,"","","","","","","","","","","","","","","",,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,260,170,170,170,210,170,170,110,110,110,140,,,,,,,,,,,,,,,,,,140,170,140,90,110,90,70,70,90,110,110,70
"oficinas google barcelona",4,110,7,"Spain","",,,,"","","","","","","","","","","","","","","",,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,260,170,170,170,210,170,170,110,110,110,140,,,,,,,,,,,,,,,,,,140,170,140,90,110,90,70,70,90,110,110,70
"open graph",4,320,21,"Spain","1.99",0,21,0,"HOMEPAGES, CORPORATE_BLOG_POSTS","","","","","","","","","","","","","","",,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320,320,320,390,390,320,320,390,320,320,210,260,320,390,260,320,320,320,260,320,260,260,260,720,390,320,260
"pagina web para abogados",4,110,7,"Spain","4.38",43,16,50,"HOMEPAGES","","Missing words in title","","20","10","10","10","10","10","10","10","10","10","20",10,,,,,,,,,,20,30,"40","20","30","20","10","10","10","30","30","50","70","30","20","10","20","20","10","10","20","40","20",20,50,30,30,40,40,50,20,10,30,30,40,20,20,20,20,50,50,20,40,30,30,50,10,10,10,10,50,20,40,10,40,50,90,90,70,110,50,30,50,40,20,30,10,40,20,20,20,30,20,20,30,10,20,40,40,20,10,20,30,20,70,40,40,50,30,30,20,20,30,20,20,20,50,170,210,170,110,50,30,30,390,50,20,20
"programacion y diseño web",4,90,5,"Spain","3.43",34,11,-68,"CORPORATE_BLOG_POSTS","","Missing words in title","","","","","","10","20","20","20","20","20","20",10,20,20,10,10,20,20,110,70,50,50,50,"70","70","50","40","40","50","40","50","50","20","40","50","50","40","70","110","140","90","110","30","20",50,40,50,40,50,40,30,30,30,70,110,40,40,90,70,40,70,90,110,140,70,70,110,90,70,110,70,70,90,90,90,70,90,110,70,70,50,70,70,90,50,140,90,50,50,70,50,260,70,90,90,90,70,90,50,50,50,90,90,110,70,70,70,70,110,50,70,70,40,50,70,50,70,70,110,170,170,110,50,30,30,210,40,10,10
"que son las palabra clave",4,140,9,"Spain","",1,,,"","","","","","","","","","","","","","","",,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140,110,70,70,70,110,70,110,50,40,50,50,,,,,,,,,,,,,,,,140,110,170,170,210,170,110,50,140,140,110,70
"seo crawlers",4,110,7,"Spain","",11,,,"","","","","","","","","","","","","","","",,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,70,50,70,50,50,50,40,40,70,50,70,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170,170,210,170,140,90,70,50,210,90,50,50
"seo manager",4,140,9,"Spain","22.21",12,15,-48,"CORPORATE_BLOG_POSTS","","","","","","","","","","","","","","",,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,140,140,140,110,110,170,170,140,110,140,110,210,170,210,170,170,170,140,210,210,140,170,170,170,170,140,140,140,90,140,140,170,140,170,170,170,170,170,140,90,110,170,210,140,170,170,140,260,110,140,140,110,90,110,110,110,50
"seo optimization company",4,390,25,"Spain","1.89",12,,-48,"","","","","","","","10","0","0","0","10","0","10","0",10,10,0,0,0,0,0,10,10,10,0,10,"0","0","10","10","10","0","0","10","10","0","10","10","10","10","0","10","10","10","10","10","10",10,10,10,10,10,10,10,10,10,10,,10,10,10,0,0,10,0,0,0,10,0,0,0,0,0,10,0,10,10,10,10,0,10,0,10,10,10,0,10,10,10,10,0,0,10,0,10,10,,,,,,,,,,,,,,,,,,170,90,90,70,140,260,390,390,390,590,590,480,320,480,480,880,320,40,50
"serp google",4,260,17,"Spain","4.31",14,,-14,"","","","","","","","","","","","","","","",,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,260,260,260,210,170,140,140,170,210,260,210,260,260,320,260,260,170,170,140,210,260,260,170,210,260,260,260,260,210,170,140,260,320,320,260,260,260,260,260,260,210,140,140,170,320,210,210,260,390,480,390,320,210,110,50,210,260,210,170
"serps de google",4,260,17,"Spain","1.60",3,,100,"","","Missing words in title","Featured Snippet","","","","","","","","","","","",,,,20,10,10,20,20,20,10,20,30,"20","10","20","20","20","10","20","30","30","20","40","30","30","50","40","40","30","20","40","40","40",20,50,30,50,40,70,50,40,20,30,50,50,40,20,30,20,50,50,70,50,30,50,70,50,70,70,90,70,70,50,30,20,40,50,30,50,50,40,70,70,20,50,30,20,20,20,30,,,,,,,,,,,,,,,,,,,,140,70,50,110,170,170,110,170,260,320,320,320,140,50,40,390,320,320,260
"servicios en una pagina web",4,90,5,"Spain","6.68",43,,,"","","","","","","","","","","","","","","",,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","",,,,,,30,20,20,20,20,30,40,20,30,20,30,40,40,30,30,20,40,70,40,40,50,40,90,70,50,30,30,30,30,20,20,20,30,40,30,30,30,50,20,10,30,40,50,30,40,50,40,20,,,,,,,,,,,,,,,,,,,,,50,170,170,210,110,50,30,20,320,20,20,20
"solicitar ampliacion kit digital",4,70,4,"Spain","",,,,"","","","","","","","","","","","","","","",,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,110,110,110,90,50,40,30,140,110,10,10
"tartadictos",4,2400,158,"Spain","0.42",60,,,"","","","","","","","","","","","","","","",,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,480,720,1000,1300,1000,1000,880,1000,1300,1300,1000,1000,,,,,,,,,,,,,,,,,,2400,2400,2900,2900,2900,2400,2400,1900,3600,1900,1300,1000
"trusted store",4,210,13,"Spain","1.56",37,,,"","","","","","","","","","","","","","","",,,,,,,,,,,,,"","","","","","","","","","","","","10","10","10","10","10","10","10","10","10",10,10,10,10,10,10,10,10,10,10,10,10,10,20,10,10,10,20,10,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,590,170,210,210,110,210,210,320,260,170,110,110
"usuarios en facebook",4,90,5,"Spain","",,,-53,"","","","","","","","","","","","","","","",,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,110,140,210,170,110,170,140,110,110,90,70,50,50,50,90,70,70
"web design company websites",4,210,13,"Spain","3.16",23,,-51,"","","","","","","","","","","","","","","",,0,0,0,0,0,0,0,0,0,0,0,"0","0","0","0","0","","","","","","","","","","","","","","","","",,,,,10,10,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,90,110,110,260,260,260,210,210,210,260,210,320,210,320,260,20,30
"agencia de diseño web",5,1300,60,"Spain","5.13",11,29,107,"HOMEPAGES","","Missing words in title","","","","","","","","","","","","",,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,590,590,590,720,590,590,590,720,880,720,590,590,480,590,480,480,390,390,590,390,390,320,320,480,480,480,480,590,590,390,590,590,880,480,590,720,720,720,720,590,590,590,590,480,320,480,590,880,1600,1900,1900,1300,880,720,480,5400,1000,1000,880
"agencia posicionamiento en buscadores",5,110,5,"Spain","",7,38,-50,"HOMEPAGES","","Missing words in title","","","","","","","","","","","","",,10,0,0,10,10,10,10,10,0,10,10,"90","170","40","20","20","10","","","","","","","","","","","","","","","",,,10,0,10,10,10,0,10,10,10,10,10,10,10,10,10,0,10,320,10,10,10,10,90,10,10,20,30,70,50,50,40,40,40,30,50,30,30,20,20,20,10,10,30,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,30,20,20,10,20,20,20,20,20,20,40,170,320,260,260,170,90,50,110,10,10,10
"agencias de posicionamiento en google",5,140,6,"Spain","",5,,,"","","","","","","","","","","","","","","",,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,140,170,260,260,90,40,50,480,50,20,40
"analisis de backlinks",5,210,9,"Spain","2.08",18,28,42,"CORPORATE_BLOG_POSTS","","Missing words in title","","","","","","","","","","","","",,,,,,,,,,,,,"","","","","10","10","10","10","10","10","10","10","10","10","10","10","","","","","",,,,10,10,10,10,10,10,10,20,10,20,10,10,10,10,10,20,40,20,20,20,30,10,20,10,10,10,10,10,10,10,10,10,10,20,10,20,20,20,20,10,10,10,10,10,20,10,10,10,10,10,10,10,10,10,20,30,50,50,20,40,40,30,30,10,10,20,20,10,70,110,110,320,390,320,90,20,30,90,880,90,110,70
"análisis de backlinks",5,210,9,"Spain","2.08",18,,42,"","","","","","","","","","","","","","","",,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,20,20,10,70,110,110,320,390,320,90,20,30,90,880,90,110,70
"b2b web",5,110,5,"Spain","5.29",18,,67,"","","","","","","","","10","10","10","10","10","10","10",10,10,10,10,10,,,10,10,10,10,10,"10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","0","10","10","10","10",10,10,10,10,10,10,10,10,10,20,10,10,10,10,10,10,10,20,10,10,10,40,50,70,70,70,90,70,70,50,70,70,50,50,70,90,50,70,70,110,70,90,70,50,50,50,70,70,50,70,70,90,70,90,90,50,50,90,70,90,50,70,70,50,50,70,70,40,40,50,50,50,50,70,110,110,90,70,70,110,110,260,90,70,90
"calabria oro",5,260,12,"Spain","1.91",52,,,"","","","","","","","","","","","","","","",,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,40,30,30,20,20,20,20,30,40,20,20,10,40,50,70,50,50,40,30,40,40,40,40,50,40,40,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170,170,210,260,260,260,210,390,390,480,320,260
"css justified text",5,170,7,"Spain","",,,-60,"","","","","","","","","","","","","","","",,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320,390,480,390,390,320,320,260,210,260,390,260,,260,260,210,210,210,110,140,70,140,140,140,110
"desarrollo de páginas web",5,590,27,"Spain","20.81",43,27,-4,"CORPORATE_BLOG_POSTS","","Missing words in title","People Also Ask","","","","","","","","","","","",,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,390,390,390,390,320,320,260,260,260,260,260,320,260,260,320,320,320,260,260,260,260,260,260,320,260,260,260,390,390,390,390,390,390,480,480,480,390,260,260,320,260,320,320,480,590,720,720,590,390,170,170,1900,390,260,210
"design flats",5,720,33,"Spain","0.01",1,,13,"","","","","","","","","","","","","","","",,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,590,390,260,210,590,720,590,320,480,590,480,390,480,390,210,210,590,720,590,480,590,480,720,880,880,720,590,480,880,720,720,590
"diseno paginas web",5,90,4,"Spain","",1,28,,"HOMEPAGES","","Missing words in title","Map Pack","","","","","","","","","","","",,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,20,10,10,10,20,20,10,10,10,10,10,,,,,,,,,,,50,210,170,170,110,50,10,10,390,40,10,20
"diseñadoras web",5,260,12,"Spain","4.14",18,21,,"LISTICLES, HOMEPAGES","","Missing words in title","Map Pack","","","","","","","","","","","",,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,70,70,70,90,90,140,90,110,70,90,90,,,,,,,,,,,170,390,480,390,260,260,170,70,590,110,90,90
"diseño de pagina web profesional",5,720,33,"Spain","7.98",3,23,52,"HOMEPAGES","","Missing words in title","","","","","","","","","","","","",,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,390,480,390,480,260,210,210,320,320,260,260,210,170,170,140,140,140,90,110,140,140,110,90,90,110,140,140,90,140,140,110,210,210,210,210,170,170,170,140,170,170,170,140,170,170,210,260,320,720,1000,1300,590,260,140,210,2400,390,320,260
"diseño de sitio web",5,590,27,"Spain","9.73",5,24,-17,"CORPORATE_BLOG_POSTS","","Missing words in title","Featured Snippet","","","","","","","","","","","",,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,590,720,590,3600,590,590,590,480,590,1000,390,320,390,320,320,390,720,720,880,1000,590,720,590,210,1000,320,320,210
"diseño de un sitio web",5,590,27,"Spain","9.73",5,31,-17,"CORPORATE_BLOG_POSTS","","Missing words in title","","","","","","10","10","10","10","10","10","10",10,10,10,10,10,0,0,10,10,10,10,0,"0","0","10","10","0","","","","","","","","","","","","","","","","",,,320,390,390,590,720,480,590,720,720,480,590,720,590,590,720,720,590,,,,390,480,320,390,260,590,480,590,590,590,590,720,880,590,480,480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,390,320,390,320,320,390,720,720,880,1000,590,720,590,210,1000,320,320,210
